,word,transcript,freq,corr
0,"['а', 'б', 'с', 'о', 'л', 'ю', 'т', 'н', 'о']","['a', 'p', 's', 'a', ""l'"", 'u', 't', 'n', 'a']",38,"[('а', 'a'), ('б', 'p'), ('с', 's'), ('о', 'a'), ('л', ""l'""), ('ю', 'u'), ('т', 't'), ('н', 'n'), ('о', 'a')]"
1,"['а', 'б', 'х', 'а', 'з', 'е', 'ц']","['a', 'p', 'h', 'a', ""z'"", 'i', 'c']",6,"[('а', 'a'), ('б', 'p'), ('х', 'h'), ('а', 'a'), ('з', ""z'""), ('е', 'i'), ('ц', 'c')]"
2,"['а', 'в', 'г', 'у', 'с', 'т']","['a', 'v', 'g', 'u', 's', 't']",3,"[('а', 'a'), ('в', 'v'), ('г', 'g'), ('у', 'u'), ('с', 's'), ('т', 't')]"
3,"['а', 'в', 'г', 'у', 'с', 'т', 'е']","['a', 'v', 'g', 'u', ""s'"", ""t'"", 'i']",11,"[('а', 'a'), ('в', 'v'), ('г', 'g'), ('у', 'u'), ('с', ""s'""), ('т', ""t'""), ('е', 'i')]"
4,"['а', 'в', 'т', 'о', 'б', 'и', 'о', 'г', 'р', 'а', 'ф', 'и', 'и']","['a', 'f', 't', 'a', ""b'"", 'i', 'a', 'g', 'r', 'a', ""f'"", 'i', 'i']",3,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('б', ""b'""), ('и', 'i'), ('о', 'a'), ('г', 'g'), ('р', 'r'), ('а', 'a'), ('ф', ""f'""), ('и', 'i'), ('и', 'i')]"
5,"['а', 'в', 'т', 'о', 'б', 'у', 'с', 'е']","['a', 'f', 't', 'o', 'b', 'u', ""s'"", 'i']",6,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'o'), ('б', 'b'), ('у', 'u'), ('с', ""s'""), ('е', 'i')]"
6,"['а', 'в', 'т', 'о', 'б', 'у', 'с', 'н', 'о', 'й']","['a', 'f', 't', 'o', 'b', 'u', 's', 'n', 'a', 'j']",3,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'o'), ('б', 'b'), ('у', 'u'), ('с', 's'), ('н', 'n'), ('о', 'a'), ('й', 'j')]"
7,"['а', 'в', 'т', 'о', 'б', 'у', 'с', 'о', 'м']","['a', 'f', 't', 'o', 'b', 'u', 's', 'a', 'm']",6,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'o'), ('б', 'b'), ('у', 'u'), ('с', 's'), ('о', 'a'), ('м', 'm')]"
8,"['а', 'в', 'т', 'о', 'м', 'а', 'т']","['a', 'f', 't', 'a', 'm', 'a', 't']",6,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('а', 'a'), ('т', 't')]"
9,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'а']","['a', 'f', 't', 'a', 'm', 'a', 't', 'a']",14,"[('а', 'a'), ('в', 'f'), ('т', 't'), ('о', 'a'), ('м', 'm'), ('а', 'a'), ('т', 't'), ('а', 'a')]"
