grapheme,phoneme_real,total_freq,word_count,rel_freq
а,a,55690,3616,8.4924
о,a,47748,3231,7.2813
и,i,37823,2909,5.7678
т,t,30239,1804,4.6112
н,n,24417,1774,3.7234
о,o,24377,1360,3.7173
е,i,23186,1761,3.5357
л,l,21518,1688,3.2814
к,k,20106,1319,3.066
р,r,19963,1851,3.0442
с,s,19274,1614,2.9392
м,m,18514,1212,2.8233
у,u,17660,1561,2.693
е,e,17089,1161,2.606
ь,-,15372,1279,2.3441
в,v,15361,1318,2.3425
п,p,14680,1448,2.2386
л,l',14592,1203,2.2252
д,d,13357,940,2.0369
т,t',13329,1073,2.0326
н,n',13148,1049,2.005
ы,y,11095,1032,1.6919
с,s',10801,1025,1.6471
р,r',9550,826,1.4563
з,z,9042,776,1.3788
ч,ch,8489,745,1.2945
б,b,7955,584,1.2131
й,j,7751,709,1.182
д,d',7455,552,1.1368
я,a,7257,670,1.1066
м,m',7061,553,1.0768
ж,zh,6651,515,1.0142
в,v',6483,561,0.9886
ш,sh,6192,566,0.9442
г,g,5888,557,0.8979
х,h,5359,500,0.8172
е,y,3845,219,0.5863
в,f,3777,329,0.576
ю,ju,2821,304,0.4302
я,i,2704,235,0.4123
е,o,2628,244,0.4008
и,y,2599,296,0.3963
э,e,2591,20,0.3951
е,ji,2563,429,0.3908
п,p',2521,272,0.3844
к,k',2504,306,0.3818
ц,c,2429,178,0.3704
т,-,2211,255,0.3372
я,ja,2209,287,0.3369
с,c,2095,242,0.3195
ю,u,2054,128,0.3132
б,b',1928,230,0.294
е,je,1644,75,0.2507
г,v,1519,137,0.2316
щ,sc,1364,167,0.208
ч,sh,1163,9,0.1773
з,z',1154,113,0.176
н,-,1062,147,0.1619
д,t,1007,78,0.1536
г,g',762,71,0.1162
с,-,716,73,0.1092
я,ji,690,74,0.1052
г,k,680,26,0.1037
з,s,657,37,0.1002
д,-,616,54,0.0939
ф,f,583,68,0.0889
б,p,575,50,0.0877
ч,sc,516,45,0.0787
ф,f',460,52,0.0701
д,t',444,24,0.0677
а,i,428,35,0.0653
ё,jo,365,32,0.0557
ё,o,341,6,0.052
ъ,-,328,32,0.05
ж,sh,318,25,0.0485
с,z',267,23,0.0407
т,c,243,26,0.0371
с,z,184,27,0.0281
х,h',179,34,0.0273
в,-,178,18,0.0271
э,i,164,9,0.025
ж,-,117,6,0.0178
л,-,106,15,0.0162
г,h,105,14,0.016
т,d,94,23,0.0143
з,s',87,5,0.0133
в,f',87,7,0.0133
т,d',86,21,0.0131
з,zh,82,13,0.0125
д,c,57,5,0.0087
й,-,49,1,0.0075
э,y,47,9,0.0072
и,ji,34,5,0.0052
д,ch,32,3,0.0049
а,y,31,3,0.0047
п,-,28,5,0.0043
м,-,27,5,0.0041
к,-,25,3,0.0038
с,sh,25,4,0.0038
р,-,24,4,0.0037
к,g,20,5,0.003
з,-,14,3,0.0021
т,ch,8,1,0.0012
ш,zh,8,1,0.0012
с,zh,6,2,0.0009
ш,-,3,1,0.0005
г,-,3,1,0.0005
з,sh,2,1,0.0003
с,sc,1,1,0.0002
