grapheme,phoneme_real,total_freq,word_count,rel_freq_pct
а,a,55690,3616,99.18
а,i,428,35,0.76
а,y,31,3,0.06
б,b,7955,584,76.07
б,b',1928,230,18.44
б,p,575,50,5.5
в,v,15361,1318,59.34
в,v',6483,561,25.04
в,f,3777,329,14.59
в,-,178,18,0.69
в,f',87,7,0.34
г,g,5888,557,65.74
г,v,1519,137,16.96
г,g',762,71,8.51
г,k,680,26,7.59
г,h,105,14,1.17
г,-,3,1,0.03
д,d,13357,940,58.15
д,d',7455,552,32.46
д,t,1007,78,4.38
д,-,616,54,2.68
д,t',444,24,1.93
д,c,57,5,0.25
д,ch,32,3,0.14
е,i,23186,1761,45.5
е,e,17089,1161,33.54
е,y,3845,219,7.55
е,o,2628,244,5.16
е,ji,2563,429,5.03
е,je,1644,75,3.23
ё,jo,365,32,51.7
ё,o,341,6,48.3
ж,zh,6651,515,93.86
ж,sh,318,25,4.49
ж,-,117,6,1.65
з,z,9042,776,81.92
з,z',1154,113,10.45
з,s,657,37,5.95
з,s',87,5,0.79
з,zh,82,13,0.74
з,-,14,3,0.13
з,sh,2,1,0.02
и,i,37823,2909,93.49
и,y,2599,296,6.42
и,ji,34,5,0.08
й,j,7751,709,99.37
й,-,49,1,0.63
к,k,20106,1319,88.75
к,k',2504,306,11.05
к,-,25,3,0.11
к,g,20,5,0.09
л,l,21518,1688,59.42
л,l',14592,1203,40.29
л,-,106,15,0.29
м,m,18514,1212,72.31
м,m',7061,553,27.58
м,-,27,5,0.11
н,n,24417,1774,63.21
н,n',13148,1049,34.04
н,-,1062,147,2.75
о,a,47748,3231,66.2
о,o,24377,1360,33.8
п,p,14680,1448,85.21
п,p',2521,272,14.63
п,-,28,5,0.16
р,r,19963,1851,67.59
р,r',9550,826,32.33
р,-,24,4,0.08
с,s,19274,1614,57.76
с,s',10801,1025,32.37
с,c,2095,242,6.28
с,-,716,73,2.15
с,z',267,23,0.8
с,z,184,27,0.55
с,sh,25,4,0.07
с,zh,6,2,0.02
с,sc,1,1,0.0
т,t,30239,1804,65.44
т,t',13329,1073,28.84
т,-,2211,255,4.78
т,c,243,26,0.53
т,d,94,23,0.2
т,d',86,21,0.19
т,ch,8,1,0.02
у,u,17660,1561,100.0
ф,f,583,68,55.9
ф,f',460,52,44.1
х,h,5359,500,96.77
х,h',179,34,3.23
ц,c,2429,178,100.0
ч,ch,8489,745,83.49
ч,sh,1163,9,11.44
ч,sc,516,45,5.07
ш,sh,6192,566,99.82
ш,zh,8,1,0.13
ш,-,3,1,0.05
щ,sc,1364,167,100.0
ъ,-,328,32,100.0
ы,y,11095,1032,100.0
ь,-,15372,1279,100.0
э,e,2591,20,92.47
э,i,164,9,5.85
э,y,47,9,1.68
ю,ju,2821,304,57.87
ю,u,2054,128,42.13
я,a,7257,670,56.43
я,i,2704,235,21.03
я,ja,2209,287,17.18
я,ji,690,74,5.37
