,word,transcript,freq,corr
0,['и'],['i0'],13116264,"[('и', 'i0')]"
1,"['н', 'е']","[""n'"", 'e0']",6761787,"[('н', ""n'""), ('е', 'e0')]"
2,"['н', 'а']","['n', 'a0']",5980833,"[('н', 'n'), ('а', 'a0')]"
3,"['ч', 'т', 'о']","['sh', 't', 'o0']",3219572,"[('ч', 'sh'), ('т', 't'), ('о', 'o0')]"
4,['я'],"['j', 'a0']",3152645,"[('я', 'ja0')]"
5,['а'],['a0'],2850363,"[('а', 'a0')]"
6,"['о', 'н']","['o0', 'n']",2559974,"[('о', 'o0'), ('н', 'n')]"
7,"['н', 'о']","['n', 'o0']",2158914,"[('н', 'n'), ('о', 'o0')]"
8,"['п', 'о']","['p', 'o0']",2154579,"[('п', 'p'), ('о', 'o0')]"
9,['и'],['i0'],1807948,"[('и', 'i0')]"
10,"['к', 'а', 'к']","['k', 'a0', 'k']",1773476,"[('к', 'k'), ('а', 'a0'), ('к', 'k')]"
11,"['и', 'з']","['i0', 's']",1666937,"[('и', 'i0'), ('з', 's')]"
12,['у'],['u0'],1615834,"[('у', 'u0')]"
13,"['з', 'а']","['z', 'a0']",1562110,"[('з', 'z'), ('а', 'a0')]"
14,"['о', 'т']","['o0', 't']",1446701,"[('о', 'o0'), ('т', 't')]"
15,"['ж', 'е']","['zh', 'e0']",1376548,"[('ж', 'zh'), ('е', 'e0')]"
16,['о'],['o0'],1345907,"[('о', 'o0')]"
17,"['т', 'а', 'к']","['t', 'a0', 'k']",1235940,"[('т', 't'), ('а', 'a0'), ('к', 'k')]"
18,"['д', 'л', 'я']","['d', ""l'"", 'a0']",1184333,"[('д', 'd'), ('л', ""l'""), ('я', 'a0')]"
19,"['м', 'ы']","['m', 'y0']",992219,"[('м', 'm'), ('ы', 'y0')]"
20,"['б', 'ы', 'л']","['b', 'y0', 'l']",876104,"[('б', 'b'), ('ы', 'y0'), ('л', 'l')]"
21,"['м', 'н', 'е']","['m', ""n'"", 'e0']",858364,"[('м', 'm'), ('н', ""n'""), ('е', 'e0')]"
22,"['д', 'о']","['d', 'o0']",802726,"[('д', 'd'), ('о', 'o0')]"
23,"['б', 'ы']","['b', 'y0']",785087,"[('б', 'b'), ('ы', 'y0')]"
24,"['ч', 'т', 'о']","['sh', 't', 'o0']",741342,"[('ч', 'sh'), ('т', 't'), ('о', 'o0')]"
25,"['к', 'а', 'к']","['k', 'a0', 'k']",704149,"[('к', 'k'), ('а', 'a0'), ('к', 'k')]"
26,"['т', 'ы']","['t', 'y0']",657280,"[('т', 't'), ('ы', 'y0')]"
27,"['в', 'о', 'т']","['v', 'o0', 't']",629561,"[('в', 'v'), ('о', 'o0'), ('т', 't')]"
28,"['в', 'ы']","['v', 'y0']",627344,"[('в', 'v'), ('ы', 'y0')]"
29,"['п', 'р', 'и']","['p', ""r'"", 'i0']",586623,"[('п', 'p'), ('р', ""r'""), ('и', 'i0')]"
30,"['в', 'о']","['v', 'o0']",538746,"[('в', 'v'), ('о', 'o0')]"
31,"['н', 'е', 'т']","[""n'"", 'e0', 't']",516369,"[('н', ""n'""), ('е', 'e0'), ('т', 't')]"
32,"['б', 'ы', 'т', 'ь']","['b', 'y0', ""t'""]",511934,"[('б', 'b'), ('ы', 'y0'), ('т', ""t'""), ('ь', '-')]"
33,"['т', 'о']","['t', 'o0']",479378,"[('т', 't'), ('о', 'o0')]"
34,"['с', 'о']","['s', 'o0']",465267,"[('с', 's'), ('о', 'o0')]"
35,"['ч', 'т', 'о']","['sh', 't', 'o0']",463654,"[('ч', 'sh'), ('т', 't'), ('о', 'o0')]"
36,"['л', 'и']","[""l'"", 'i0']",461940,"[('л', ""l'""), ('и', 'i0')]"
37,"['д', 'а']","['d', 'a0']",446519,"[('д', 'd'), ('а', 'a0')]"
38,"['п', 'о', 'д']","['p', 'o0', 't']",432408,"[('п', 'p'), ('о', 'o0'), ('д', 't')]"
39,"['г', 'д', 'е']","['g', ""d'"", 'e0']",431601,"[('г', 'g'), ('д', ""d'""), ('е', 'e0')]"
40,"['е', 'с', 'т', 'ь']","['j', 'e0', ""s'"", ""t'""]",420312,"[('е', 'je0'), ('с', ""s'""), ('т', ""t'""), ('ь', '-')]"
41,"['и', 'х']","['i0', 'h']",398843,"[('и', 'i0'), ('х', 'h')]"
42,"['б', 'е', 'з']","[""b'"", 'e0', 's']",396122,"[('б', ""b'""), ('е', 'e0'), ('з', 's')]"
43,"['в', 'с', 'ё']","['f', ""s'"", 'o0']",388461,"[('в', 'f'), ('с', ""s'""), ('ё', 'o0')]"
44,"['т', 'а', 'м']","['t', 'a0', 'm']",377072,"[('т', 't'), ('а', 'a0'), ('м', 'm')]"
45,"['и', 'х']","['i0', 'h']",358929,"[('и', 'i0'), ('х', 'h')]"
46,"['н', 'и']","[""n'"", 'i0']",348748,"[('н', ""n'""), ('и', 'i0')]"
47,"['т', 'о']","['t', 'o0']",340181,"[('т', 't'), ('о', 'o0')]"
48,"['н', 'у']","['n', 'u0']",329194,"[('н', 'n'), ('у', 'u0')]"
49,"['з', 'д', 'е', 'с', 'ь']","[""z'"", ""d'"", 'e0', ""s'""]",326876,"[('з', ""z'""), ('д', ""d'""), ('е', 'e0'), ('с', ""s'""), ('ь', '-')]"
50,"['т', 'о']","['t', 'o0']",304298,"[('т', 't'), ('о', 'o0')]"
51,"['т', 'у', 'т']","['t', 'u0', 't']",303794,"[('т', 't'), ('у', 'u0'), ('т', 't')]"
52,"['к', 'т', 'о']","['k', 't', 'o0']",300770,"[('к', 'k'), ('т', 't'), ('о', 'o0')]"
53,"['в', 'с', 'е']","['f', ""s'"", 'e0']",286961,"[('в', 'f'), ('с', ""s'""), ('е', 'e0')]"
54,"['н', 'и']","[""n'"", 'i0']",282123,"[('н', ""n'""), ('и', 'i0')]"
55,"['н', 'а', 'м']","['n', 'a0', 'm']",264887,"[('н', 'n'), ('а', 'a0'), ('м', 'm')]"
56,"['о', 'б']","['o0', 'p']",264283,"[('о', 'o0'), ('б', 'p')]"
57,"['л', 'е', 'т']","[""l'"", 'e0', 't']",261964,"[('л', ""l'""), ('е', 'e0'), ('т', 't')]"
58,"['в', 'с', 'ё']","['f', ""s'"", 'o0']",260150,"[('в', 'f'), ('с', ""s'""), ('ё', 'o0')]"
59,"['н', 'а', 'с']","['n', 'a0', 's']",257026,"[('н', 'n'), ('а', 'a0'), ('с', 's')]"
60,"['р', 'а', 'з']","['r', 'a0', 's']",253699,"[('р', 'r'), ('а', 'a0'), ('з', 's')]"
61,"['е', 'й']","['j', 'e0', 'j']",253195,"[('е', 'je0'), ('й', 'j')]"
62,"['с', 'а', 'м']","['s', 'a0', 'm']",247047,"[('с', 's'), ('а', 'a0'), ('м', 'm')]"
63,"['т', 'е', 'м']","[""t'"", 'e0', 'm']",234952,"[('т', ""t'""), ('е', 'e0'), ('м', 'm')]"
64,"['в', 'а', 'м']","['v', 'a0', 'm']",232633,"[('в', 'v'), ('а', 'a0'), ('м', 'm')]"
65,"['т', 'о', 'м']","['t', 'o0', 'm']",231625,"[('т', 't'), ('о', 'o0'), ('м', 'm')]"
66,"['н', 'а', 'д']","['n', 'a0', 't']",231525,"[('н', 'n'), ('а', 'a0'), ('д', 't')]"
67,"['д', 'а']","['d', 'a0']",229005,"[('д', 'd'), ('а', 'a0')]"
68,"['ч', 'е', 'м']","['ch', 'e0', 'm']",227594,"[('ч', 'ch'), ('е', 'e0'), ('м', 'm')]"
69,"['н', 'и', 'х']","[""n'"", 'i0', 'h']",223864,"[('н', ""n'""), ('и', 'i0'), ('х', 'h')]"
70,"['в', 'е', 'д', 'ь']","[""v'"", 'e0', ""t'""]",221244,"[('в', ""v'""), ('е', 'e0'), ('д', ""t'""), ('ь', '-')]"
71,"['д', 'е', 'н', 'ь']","[""d'"", 'e0', ""n'""]",206830,"[('д', ""d'""), ('е', 'e0'), ('н', ""n'""), ('ь', '-')]"
72,"['в', 'с', 'ё']","['f', ""s'"", 'o0']",206124,"[('в', 'f'), ('с', ""s'""), ('ё', 'o0')]"
73,"['н', 'и', 'м']","[""n'"", 'i0', 'm']",205217,"[('н', ""n'""), ('и', 'i0'), ('м', 'm')]"
74,"['б', 'ы']","['b', 'y0']",194634,"[('б', 'b'), ('ы', 'y0')]"
75,"['в', 'д', 'р', 'у', 'г']","['v', 'd', 'r', 'u0', 'k']",188788,"[('в', 'v'), ('д', 'd'), ('р', 'r'), ('у', 'u0'), ('г', 'k')]"
76,"['л', 'и', 'ш', 'ь']","[""l'"", 'i0', 'sh']",183143,"[('л', ""l'""), ('и', 'i0'), ('ш', 'sh'), ('ь', '-')]"
77,"['у', 'ж']","['u0', 'sh']",181732,"[('у', 'u0'), ('ж', 'sh')]"
78,"['т', 'о']","['t', 'o0']",179515,"[('т', 't'), ('о', 'o0')]"
79,"['и', 'м']","['i0', 'm']",178809,"[('и', 'i0'), ('м', 'm')]"
80,"['с', 'т', 'а', 'л']","['s', 't', 'a0', 'l']",163085,"[('с', 's'), ('т', 't'), ('а', 'a0'), ('л', 'l')]"
81,"['в', 'с', 'е']","['f', ""s'"", 'e0']",156332,"[('в', 'f'), ('с', ""s'""), ('е', 'e0')]"
82,"['н', 'а', 'с']","['n', 'a0', 's']",153711,"[('н', 'n'), ('а', 'a0'), ('с', 's')]"
83,"['в', 'с', 'е']","['f', ""s'"", 'e0']",149176,"[('в', 'f'), ('с', ""s'""), ('е', 'e0')]"
84,"['в', 'а', 'с']","['v', 'a0', 's']",146656,"[('в', 'v'), ('а', 'a0'), ('с', 's')]"
85,"['т', 'о', 'т']","['t', 'o0', 't']",144942,"[('т', 't'), ('о', 'o0'), ('т', 't')]"
86,"['м', 'о', 'й']","['m', 'o0', 'j']",144841,"[('м', 'm'), ('о', 'o0'), ('й', 'j')]"
87,"['в', 'с', 'ё']","['f', ""s'"", 'o0']",143330,"[('в', 'f'), ('с', ""s'""), ('ё', 'o0')]"
88,"['м', 'о', 'г']","['m', 'o0', 'k']",141918,"[('м', 'm'), ('о', 'o0'), ('г', 'k')]"
89,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e0', 'h']",134560,"[('в', 'f'), ('с', ""s'""), ('е', 'e0'), ('х', 'h')]"
90,"['д', 'в', 'а']","['d', 'v', 'a0']",130730,"[('д', 'd'), ('в', 'v'), ('а', 'a0')]"
