grapheme,phoneme_real,total_freq,word_count,rel_freq
о,o0,22741223,179,10.5605
и,i0,20998182,69,9.751
а,a0,19730799,173,9.1625
е,e0,15491471,133,7.1939
т,t,14717082,140,6.8342
н,n,12998641,84,6.0362
н,n',10905946,44,5.0644
к,k,7415539,88,3.4436
м,m,6087567,83,2.8269
ь,-,5086485,175,2.362
ы,y0,4950917,32,2.2991
ч,sh,4559331,2,2.1172
с,s',4256645,53,1.9767
д,d,4151925,57,1.9281
п,p,3954767,65,1.8365
в,v,3796022,72,1.7628
у,u0,3763566,86,1.7477
с,s,3440916,150,1.5979
я,ja0,3220076,4,1.4953
т,t',3096197,75,1.4378
в,f,2903782,45,1.3484
л,l',2849550,68,1.3233
б,b,2723868,42,1.2649
з,s,2564107,17,1.1907
л,l,2366754,108,1.0991
х,h,2262536,36,1.0507
р,r,2148329,143,0.9976
з,z,1960955,31,0.9106
ж,zh,1920834,33,0.892
я,a0,1887980,28,0.8767
ё,o0,1763598,30,0.819
д,d',1468370,18,0.6819
й,j,1438436,37,0.668
р,r',1289362,42,0.5987
д,t,1215279,41,0.5643
ч,ch,1125773,40,0.5228
в,v',896567,26,0.4163
г,g,828833,36,0.3849
е,je0,827317,12,0.3842
г,k,678852,19,0.3152
з,z',676935,9,0.3144
ш,sh,622606,36,0.2891
б,p,474238,24,0.2202
б,b',440169,12,0.2044
и,y0,374249,8,0.1738
д,t',331816,8,0.1541
м,m',268615,24,0.1247
п,p',258133,25,0.1199
ж,sh,255916,9,0.1188
ц,c,164599,14,0.0764
ю,u0,154013,6,0.0715
з,s',150788,5,0.07
ф,f,128516,17,0.0597
в,f',80938,3,0.0376
г,h,76201,1,0.0354
с,-,60679,6,0.0282
э,e0,42535,5,0.0198
д,-,33665,1,0.0156
с,c,33665,1,0.0156
ч,sc,33061,1,0.0154
щ,sc,31043,4,0.0144
к,k',27013,1,0.0125
ю,ju0,20360,4,0.0095
с,z,20259,5,0.0094
ф,f',19755,2,0.0092
ъ,-,15723,3,0.0073
в,-,15220,1,0.0071
ё,jo0,11390,3,0.0053
п,-,11188,1,0.0052
н,-,7862,1,0.0037
и,ji0,5544,1,0.0026
б,p',4839,2,0.0022
с,sc,4133,1,0.0019
г,g',3125,2,0.0015
