grapheme,phoneme_real,total_freq,word_count,rel_freq_pct
а,a0,19730799,173,100.0
б,b,2723868,42,74.77
б,p,474238,24,13.02
б,b',440169,12,12.08
б,p',4839,2,0.13
в,v,3796022,72,49.35
в,f,2903782,45,37.75
в,v',896567,26,11.66
в,f',80938,3,1.05
в,-,15220,1,0.2
г,g,828833,36,52.23
г,k,678852,19,42.78
г,h,76201,1,4.8
г,g',3125,2,0.2
д,d,4151925,57,57.66
д,d',1468370,18,20.39
д,t,1215279,41,16.88
д,t',331816,8,4.61
д,-,33665,1,0.47
е,e0,15491471,133,94.93
е,je0,827317,12,5.07
ё,o0,1763598,30,99.36
ё,jo0,11390,3,0.64
ж,zh,1920834,33,88.24
ж,sh,255916,9,11.76
з,s,2564107,17,47.9
з,z,1960955,31,36.63
з,z',676935,9,12.65
з,s',150788,5,2.82
и,i0,20998182,69,98.22
и,y0,374249,8,1.75
и,ji0,5544,1,0.03
й,j,1438436,37,100.0
к,k,7415539,88,99.64
к,k',27013,1,0.36
л,l',2849550,68,54.63
л,l,2366754,108,45.37
м,m,6087567,83,95.77
м,m',268615,24,4.23
н,n,12998641,84,54.36
н,n',10905946,44,45.61
н,-,7862,1,0.03
о,o0,22741223,179,100.0
п,p,3954767,65,93.62
п,p',258133,25,6.11
п,-,11188,1,0.26
р,r,2148329,143,62.49
р,r',1289362,42,37.51
с,s',4256645,53,54.46
с,s,3440916,150,44.02
с,-,60679,6,0.78
с,c,33665,1,0.43
с,z,20259,5,0.26
с,sc,4133,1,0.05
т,t,14717082,140,82.62
т,t',3096197,75,17.38
у,u0,3763566,86,100.0
ф,f,128516,17,86.68
ф,f',19755,2,13.32
х,h,2262536,36,100.0
ц,c,164599,14,100.0
ч,sh,4559331,2,79.73
ч,ch,1125773,40,19.69
ч,sc,33061,1,0.58
ш,sh,622606,36,100.0
щ,sc,31043,4,100.0
ъ,-,15723,3,100.0
ы,y0,4950917,32,100.0
ь,-,5086485,175,100.0
э,e0,42535,5,100.0
ю,u0,154013,6,88.32
ю,ju0,20360,4,11.68
я,ja0,3220076,4,63.04
я,a0,1887980,28,36.96
