phoneme_real,grapheme,total_freq,word_count,rel_freq_pct
-,ь,5086485,175,97.24
-,с,60679,6,1.16
-,д,33665,1,0.64
-,ъ,15723,3,0.3
-,в,15220,1,0.29
-,п,11188,1,0.21
-,н,7862,1,0.15
a0,а,19730799,173,91.27
a0,я,1887980,28,8.73
b,б,2723868,42,100.0
b',б,440169,12,100.0
c,ц,164599,14,83.02
c,с,33665,1,16.98
ch,ч,1125773,40,100.0
d,д,4151925,57,100.0
d',д,1468370,18,100.0
e0,е,15491471,133,99.73
e0,э,42535,5,0.27
f,в,2903782,45,95.76
f,ф,128516,17,4.24
f',в,80938,3,80.38
f',ф,19755,2,19.62
g,г,828833,36,100.0
g',г,3125,2,100.0
h,х,2262536,36,96.74
h,г,76201,1,3.26
i0,и,20998182,69,100.0
j,й,1438436,37,100.0
ja0,я,3220076,4,100.0
je0,е,827317,12,100.0
ji0,и,5544,1,100.0
jo0,ё,11390,3,100.0
ju0,ю,20360,4,100.0
k,к,7415539,88,91.61
k,г,678852,19,8.39
k',к,27013,1,100.0
l,л,2366754,108,100.0
l',л,2849550,68,100.0
m,м,6087567,83,100.0
m',м,268615,24,100.0
n,н,12998641,84,100.0
n',н,10905946,44,100.0
o0,о,22741223,179,92.8
o0,ё,1763598,30,7.2
p,п,3954767,65,89.29
p,б,474238,24,10.71
p',п,258133,25,98.16
p',б,4839,2,1.84
r,р,2148329,143,100.0
r',р,1289362,42,100.0
s,с,3440916,150,57.3
s,з,2564107,17,42.7
s',с,4256645,53,96.58
s',з,150788,5,3.42
sc,ч,33061,1,48.45
sc,щ,31043,4,45.49
sc,с,4133,1,6.06
sh,ч,4559331,2,83.84
sh,ш,622606,36,11.45
sh,ж,255916,9,4.71
t,т,14717082,140,92.37
t,д,1215279,41,7.63
t',т,3096197,75,90.32
t',д,331816,8,9.68
u0,у,3763566,86,96.07
u0,ю,154013,6,3.93
v,в,3796022,72,100.0
v',в,896567,26,100.0
y0,ы,4950917,32,92.97
y0,и,374249,8,7.03
z,з,1960955,31,98.98
z,с,20259,5,1.02
z',з,676935,9,100.0
zh,ж,1920834,33,100.0
