word,pos,grapheme,phoneme_real,total_freq
а,1,а,a0,2904894
ад,1,а,a0,3931
ад,2,д,t,3931
аж,1,а,a0,5141
аж,2,ж,sh,5141
ай,1,а,a0,6249
ай,2,й,j,6249
акт,1,а,a0,11793
акт,2,к,k,11793
акт,3,т,t,11793
аль,1,а,a0,2016
аль,2,л,l',2016
аль,3,ь,-,2016
ан,1,а,a0,1714
ан,2,н,n,1714
ах,1,а,a0,47071
ах,2,х,h,47071
ба,1,б,b,1613
ба,2,а,a0,1613
баб,1,б,b,3427
баб,2,а,a0,3427
баб,3,б,p,3427
бал,1,б,b,4435
бал,2,а,a0,4435
бал,3,л,l,4435
банк,1,б,b,10583
банк,2,а,a0,10583
банк,3,н,n,10583
банк,4,к,k,10583
бас,1,б,b,2117
бас,2,а,a0,2117
бас,3,с,s,2117
бег,1,б,b',3931
бег,2,е,e0,3931
бег,3,г,k,3931
бед,1,б,b',2217
бед,2,е,e0,2217
бед,3,д,t,2217
без,1,б,b',396122
без,2,е,e0,396122
без,3,з,s,396122
бей,1,б,b',2621
бей,2,е,e0,2621
бей,3,й,j,2621
бейль,1,б,b',1613
бейль,2,е,e0,1613
бейль,3,й,j,1613
бейль,4,л,l',1613
бейль,5,ь,-,1613
бес,1,б,b',2721
бес,2,е,e0,2721
бес,3,с,s,2721
бил,1,б,b',5846
бил,2,и,i0,5846
бил,3,л,l,5846
бить,1,б,b',10583
бить,2,и,i0,10583
бить,3,т,t',10583
бить,4,ь,-,10583
благ,1,б,b,2923
благ,2,л,l,2923
благ,3,а,a0,2923
благ,4,г,k,2923
блеск,1,б,b,4737
блеск,2,л,l',4737
блеск,3,е,e0,4737
блеск,4,с,s,4737
блеск,5,к,k,4737
близ,1,б,b,11995
близ,2,л,l',11995
близ,3,и,i0,11995
близ,4,з,s,11995
блок,1,б,b,6855
блок,2,л,l,6855
блок,3,о,o0,6855
блок,4,к,k,6855
бо,1,б,b,1512
бо,2,о,o0,1512
