phoneme_real,grapheme,total_freq,word_count,rel_freq_pct
-,ь,15372,1279,73.62
-,т,2211,255,10.59
-,н,1062,147,5.09
-,с,716,73,3.43
-,д,616,54,2.95
-,ъ,328,32,1.57
-,в,178,18,0.85
-,ж,117,6,0.56
-,л,106,15,0.51
-,й,49,1,0.23
-,п,28,5,0.13
-,м,27,5,0.13
-,к,25,3,0.12
-,р,24,4,0.11
-,з,14,3,0.07
-,г,3,1,0.01
-,ш,3,1,0.01
a,а,55690,3616,50.31
a,о,47748,3231,43.13
a,я,7257,670,6.56
b,б,7955,584,100.0
b',б,1928,230,100.0
c,ц,2429,178,50.35
c,с,2095,242,43.43
c,т,243,26,5.04
c,д,57,5,1.18
ch,ч,8489,745,99.53
ch,д,32,3,0.38
ch,т,8,1,0.09
d,д,13357,940,99.3
d,т,94,23,0.7
d',д,7455,552,98.86
d',т,86,21,1.14
e,е,17089,1161,86.83
e,э,2591,20,13.17
f,в,3777,329,86.63
f,ф,583,68,13.37
f',ф,460,52,84.1
f',в,87,7,15.9
g,г,5888,557,99.66
g,к,20,5,0.34
g',г,762,71,100.0
h,х,5359,500,98.08
h,г,105,14,1.92
h',х,179,34,100.0
i,и,37823,2909,58.82
i,е,23186,1761,36.06
i,я,2704,235,4.2
i,а,428,35,0.67
i,э,164,9,0.26
j,й,7751,709,100.0
ja,я,2209,287,100.0
je,е,1644,75,100.0
ji,е,2563,429,77.97
ji,я,690,74,20.99
ji,и,34,5,1.03
jo,ё,365,32,100.0
ju,ю,2821,304,100.0
k,к,20106,1319,96.73
k,г,680,26,3.27
k',к,2504,306,100.0
l,л,21518,1688,100.0
l',л,14592,1203,100.0
m,м,18514,1212,100.0
m',м,7061,553,100.0
n,н,24417,1774,100.0
n',н,13148,1049,100.0
o,о,24377,1360,89.14
o,е,2628,244,9.61
o,ё,341,6,1.25
p,п,14680,1448,96.23
p,б,575,50,3.77
p',п,2521,272,100.0
r,р,19963,1851,100.0
r',р,9550,826,100.0
s,с,19274,1614,96.7
s,з,657,37,3.3
s',с,10801,1025,99.2
s',з,87,5,0.8
sc,щ,1364,167,72.51
sc,ч,516,45,27.43
sc,с,1,1,0.05
sh,ш,6192,566,80.42
sh,ч,1163,9,15.1
sh,ж,318,25,4.13
sh,с,25,4,0.32
sh,з,2,1,0.03
t,т,30239,1804,96.78
t,д,1007,78,3.22
t',т,13329,1073,96.78
t',д,444,24,3.22
u,у,17660,1561,89.58
u,ю,2054,128,10.42
v,в,15361,1318,91.0
v,г,1519,137,9.0
v',в,6483,561,100.0
y,ы,11095,1032,62.98
y,е,3845,219,21.83
y,и,2599,296,14.75
y,э,47,9,0.27
y,а,31,3,0.18
z,з,9042,776,98.01
z,с,184,27,1.99
z',з,1154,113,81.21
z',с,267,23,18.79
zh,ж,6651,515,98.58
zh,з,82,13,1.22
zh,ш,8,1,0.12
zh,с,6,2,0.09
