word,pos,grapheme,phoneme_real,freq
абсолютно,1,а,a,38
абсолютно,2,б,p,38
абсолютно,3,с,s,38
абсолютно,4,о,a,38
абсолютно,5,л,l',38
абсолютно,6,ю,u,38
абсолютно,7,т,t,38
абсолютно,8,н,n,38
абсолютно,9,о,a,38
абхазец,1,а,a,6
абхазец,2,б,p,6
абхазец,3,х,h,6
абхазец,4,а,a,6
абхазец,5,з,z',6
абхазец,6,е,i,6
абхазец,7,ц,c,6
август,1,а,a,3
август,2,в,v,3
август,3,г,g,3
август,4,у,u,3
август,5,с,s,3
август,6,т,t,3
августе,1,а,a,11
августе,2,в,v,11
августе,3,г,g,11
августе,4,у,u,11
августе,5,с,s',11
августе,6,т,t',11
августе,7,е,i,11
автобиографии,1,а,a,3
автобиографии,2,в,f,3
автобиографии,3,т,t,3
автобиографии,4,о,a,3
автобиографии,5,б,b',3
автобиографии,6,и,i,3
автобиографии,7,о,a,3
автобиографии,8,г,g,3
автобиографии,9,р,r,3
автобиографии,10,а,a,3
автобиографии,11,ф,f',3
автобиографии,12,и,i,3
автобиографии,13,и,i,3
автобусе,1,а,a,6
автобусе,2,в,f,6
автобусе,3,т,t,6
автобусе,4,о,o,6
автобусе,5,б,b,6
автобусе,6,у,u,6
автобусе,7,с,s',6
автобусе,8,е,i,6
автобусной,1,а,a,3
автобусной,2,в,f,3
автобусной,3,т,t,3
автобусной,4,о,o,3
автобусной,5,б,b,3
автобусной,6,у,u,3
автобусной,7,с,s,3
автобусной,8,н,n,3
автобусной,9,о,a,3
автобусной,10,й,j,3
автобусом,1,а,a,6
автобусом,2,в,f,6
автобусом,3,т,t,6
автобусом,4,о,o,6
автобусом,5,б,b,6
автобусом,6,у,u,6
автобусом,7,с,s,6
автобусом,8,о,a,6
автобусом,9,м,m,6
автомат,1,а,a,6
автомат,2,в,f,6
автомат,3,т,t,6
автомат,4,о,a,6
автомат,5,м,m,6
автомат,6,а,a,6
автомат,7,т,t,6
автомата,1,а,a,14
автомата,2,в,f,14
автомата,3,т,t,14
автомата,4,о,a,14
автомата,5,м,m,14
автомата,6,а,a,14
автомата,7,т,t,14
автомата,8,а,a,14
автоматически,1,а,a,3
автоматически,2,в,f,3
автоматически,3,т,t,3
автоматически,4,о,a,3
автоматически,5,м,m,3
автоматически,6,а,a,3
автоматически,7,т,t',3
автоматически,8,и,i,3
автоматически,9,ч,ch,3
автоматически,10,е,i,3
автоматически,11,с,s,3
автоматически,12,к,k',3
автоматически,13,и,i,3
автоматная,1,а,a,3
автоматная,2,в,f,3
автоматная,3,т,t,3
автоматная,4,о,a,3
автоматная,5,м,m,3
автоматная,6,а,a,3
автоматная,7,т,t,3
автоматная,8,н,n,3
автоматная,9,а,a,3
автоматная,10,я,ja,3
автоматов,1,а,a,3
автоматов,2,в,f,3
автоматов,3,т,t,3
автоматов,4,о,a,3
автоматов,5,м,m,3
автоматов,6,а,a,3
автоматов,7,т,t,3
автоматов,8,о,a,3
автоматов,9,в,f,3
автомобиле,1,а,a,11
автомобиле,2,в,f,11
автомобиле,3,т,t,11
автомобиле,4,о,a,11
автомобиле,5,м,m,11
автомобиле,6,о,a,11
автомобиле,7,б,b',11
автомобиле,8,и,i,11
автомобиле,9,л,l',11
автомобиле,10,е,i,11
автомобили,1,а,a,8
автомобили,2,в,f,8
автомобили,3,т,t,8
автомобили,4,о,a,8
автомобили,5,м,m,8
автомобили,6,о,a,8
автомобили,7,б,b',8
автомобили,8,и,i,8
автомобили,9,л,l',8
автомобили,10,и,i,8
автомобильной,1,а,a,3
автомобильной,2,в,f,3
автомобильной,3,т,t,3
автомобильной,4,о,a,3
автомобильной,5,м,m,3
автомобильной,6,о,a,3
автомобильной,7,б,b',3
автомобильной,8,и,i,3
автомобильной,9,л,l',3
автомобильной,10,ь,-,3
автомобильной,11,н,n,3
автомобильной,12,о,a,3
автомобильной,13,й,j,3
агаты,1,а,a,3
агаты,2,г,g,3
агаты,3,а,a,3
агаты,4,т,t,3
агаты,5,ы,y,3
адама,1,а,a,3
адама,2,д,d,3
адама,3,а,a,3
адама,4,м,m,3
адама,5,а,a,3
адвокаты,1,а,a,3
адвокаты,2,д,d,3
адвокаты,3,в,v,3
адвокаты,4,о,a,3
адвокаты,5,к,k,3
адвокаты,6,а,a,3
адвокаты,7,т,t,3
адвокаты,8,ы,y,3
административной,1,а,a,3
административной,2,д,d,3
административной,3,м,m',3
административной,4,и,i,3
административной,5,н,n',3
административной,6,и,i,3
административной,7,с,s,3
административной,8,т,t,3
административной,9,р,r,3
административной,10,а,a,3
административной,11,т,t',3
административной,12,и,i,3
административной,13,в,v,3
административной,14,н,n,3
административной,15,о,a,3
административной,16,й,j,3
адреса,1,а,a,10
адреса,2,д,d,10
адреса,3,р,r',10
адреса,4,е,i,10
адреса,5,с,s,10
адреса,6,а,a,10
адресованном,1,а,a,3
адресованном,2,д,d,3
адресованном,3,р,r',3
адресованном,4,е,i,3
адресованном,5,с,s,3
адресованном,6,о,o,3
адресованном,7,в,v,3
адресованном,8,а,a,3
адресованном,9,н,n,3
адресованном,10,н,-,3
адресованном,11,о,a,3
адресованном,12,м,m,3
адресу,1,а,a,5
адресу,2,д,d,5
адресу,3,р,r',5
адресу,4,е,i,5
адресу,5,с,s,5
адресу,6,у,u,5
академической,1,а,a,8
академической,2,к,k,8
академической,3,а,a,8
академической,4,д,d',8
академической,5,е,i,8
академической,6,м,m',8
академической,7,и,i,8
академической,8,ч,ch,8
академической,9,е,i,8
академической,10,с,s,8
академической,11,к,k,8
академической,12,о,a,8
академической,13,й,j,8
аккуратная,1,а,a,8
аккуратная,2,к,k,8
аккуратная,3,к,-,8
аккуратная,4,у,u,8
