word,transcript,freq
и0,i0,13116264
не0,n' e0,6761787
на0,n a0,5980833
что0,sh t o0,3219572
я0,j a0,3152645
а0,a0,2850363
о0н,o0 n,2559974
но0,n o0,2158914
по0,p o0,2154579
и0,i0,1807948
ка0к,k a0 k,1773476
и0з,i0 s,1666937
у0,u0,1615834
за0,z a0,1562110
о0т,o0 t,1446701
же0,zh e0,1376548
о0,o0,1345907
та0к,t a0 k,1235940
для0,d l' a0,1184333
мы0,m y0,992219
бы0л,b y0 l,876104
мне0,m n' e0,858364
до0,d o0,802726
бы0,b y0,785087
что0,sh t o0,741342
ка0к,k a0 k,704149
ты0,t y0,657280
во0т,v o0 t,629561
вы0,v y0,627344
при0,p r' i0,586623
во0,v o0,538746
не0т,n' e0 t,516369
бы0ть,b y0 t',511934
то0,t o0,479378
со0,s o0,465267
что0,sh t o0,463654
ли0,l' i0,461940
да0,d a0,446519
по0д,p o0 t,432408
где0,g d' e0,431601
е0сть,j e0 s' t',420312
и0х,i0 h,398843
бе0з,b' e0 s,396122
всё0,f s' o0,388461
та0м,t a0 m,377072
и0х,i0 h,358929
ни0,n' i0,348748
то0,t o0,340181
ну0,n u0,329194
зде0сь,z' d' e0 s',326876
то0,t o0,304298
ту0т,t u0 t,303794
кто0,k t o0,300770
все0,f s' e0,286961
ни0,n' i0,282123
на0м,n a0 m,264887
о0б,o0 p,264283
ле0т,l' e0 t,261964
всё0,f s' o0,260150
на0с,n a0 s,257026
ра0з,r a0 s,253699
е0й,j e0 j,253195
са0м,s a0 m,247047
те0м,t' e0 m,234952
ва0м,v a0 m,232633
то0м,t o0 m,231625
на0д,n a0 t,231525
да0,d a0,229005
че0м,ch e0 m,227594
ни0х,n' i0 h,223864
ве0дь,v' e0 t',221244
де0нь,d' e0 n',206830
всё0,f s' o0,206124
ни0м,n' i0 m,205217
бы0,b y0,194634
вдру0г,v d r u0 k,188788
ли0шь,l' i0 sh,183143
у0ж,u0 sh,181732
то0,t o0,179515
и0м,i0 m,178809
ста0л,s t a0 l,163085
все0,f s' e0,156332
на0с,n a0 s,153711
все0,f s' e0,149176
ва0с,v a0 s,146656
то0т,t o0 t,144942
мо0й,m o0 j,144841
всё0,f s' o0,143330
мо0г,m o0 k,141918
все0х,f s' e0 h,134560
два0,d v a0,130730
сво0й,s v o0 j,128412
про0,p r o0,127706
всю0,f s' u0,124481
дня0,d' n' a0,123372
нё0м,n' o0 m,122767
всё0,f s' o0,122062
ко0,k o0,119744
три0,t r' i0,115006
жи0знь,zh y0 z' n',114805
жи0знь,zh y0 z' n',106338
то0,t o0,101601
не0й,n' e0 j,100593
два0,d v a0,98678
что0б,sh t o0 p,97267
вся0,f s' a0,96763
ва0с,v a0 s,94747
те0х,t' e0 h,93638
чу0ть,ch u0 t',93033
дру0г,d r u0 k,92731
чё0м,ch o0 m,89001
е0сть,j e0 s' t',86784
по0р,p o0 r,86683
жи0ть,zh y0 t',84264
го0д,g o0 t,83659
те0,t' e0,83155
хо0ть,h o0 t',80938
мно0й,m n o0 j,77612
бо0г,b o0 h,76201
не0й,n' e0 j,72975
дву0х,d v u0 h,71766
пу0сть,p u0 s' t',71766
ма0ть,m a0 t',71766
и0м,i0 m,71564
ве0сь,v' e0 s',71262
дне0й,d' n' e0 j,70959
три0,t r' i0,70455
на0ш,n a0 sh,68036
че0м,ch e0 m,67331
ве0сь,v' e0 s',64912
ра0з,r a0 s,63601
кня0зь,k n' a0 s',61888
две0,d v' e0,61485
ту0,t u0,60981
то0т,t o0 t,60981
та0,t a0,60477
ни0х,n' i0 h,59569
де0нь,d' e0 n',58360
сы0н,s y0 n,56646
ча0сть,ch a0 s' t',56243
то0м,t o0 m,56042
не0й,n' e0 j,55638
две0,d v' e0,55538
си0х,s' i0 h,55336
да0ть,d a0 t',54731
взя0л,v z' a0 l,54328
до0м,d o0 m,54227
шё0л,sh o0 l,54127
сто0ль,s t o0 l',53925
но0чь,n o0 ch,53522
все0х,f s' e0 h,52514
пя0ть,p' a0 t',52312
и0х,i0 h,52010
две0рь,d v' e0 r',50498
си0л,s' i0 l,49994
о0н,o0 n,49188
скво0зь,s k v o0 s',48482
я0,j a0,48482
дни0,d' n' i0,48381
зна0л,z n a0 l,47978
все0м,f s' e0 m,47071
взя0ть,v z' a0 t',47071
а0х,a0 h,47071
вно0вь,v n o0 f',46265
сло0в,s l o0 f,45357
бра0т,b r a0 t,45357
все0х,f s' e0 h,44954
мы0сль,m y0 s l',44954
о0,o0,44954
ми0р,m' i0 r,44249
да0л,d a0 l,43745
то0й,t o0 j,43039
ча0с,ch a0 s,42132
те0,t' e0,42132
ни0х,n' i0 h,41426
де0л,d' e0 l,41426
ни0м,n' i0 m,41023
ре0чь,r' e0 ch,40822
до0м,d o0 m,40620
все0х,f s' e0 h,40318
пётр,p' o0 t r,40217
ча0сть,ch a0 s' t',40116
ми0р,m' i0 r,39511
все0х,f s' e0 h,39209
ро0ль,r o0 l',39209
днё0м,d' n' o0 m,38907
то0м,t o0 m,38806
трё0х,t r' o0 h,38201
шли0,sh l' i0,38201
все0м,f s' e0 m,38100
жи0л,zh y0 l,37999
зна0л,z n a0 l,37495
дру0г,d r u0 k,36891
пу0ть,p u0 t',36790
а0,a0,36488
вни0з,v n' i0 s,35984
ста0ть,s t a0 t',35782
мне0,m n' e0,35681
гла0з,g l a0 s,35177
то0,t o0,34068
спа0ть,s p a0 t',33968
шла0,sh l a0,33766
сто0л,s t o0 l,33766
все0й,f s' e0 j,33665
сре0дств,s r' e0 c t f,33665
ру0к,r u0 k,33565
счё0т,sc o0 t,33061
се0л,s' e0 l,32859
ви0д,v' i0 t,31851
му0ж,m u0 sh,31750
взгля0д,v z g l' a0 t,31347
вста0л,f s t a0 l,31145
мо0й,m o0 j,30742
те0м,t' e0 m,29835
све0т,s v' e0 t,29835
всё0м,f s' o0 m,29533
ца0рь,c a0 r',29130
сме0рть,s m' e0 r t',28928
све0т,s v' e0 t,28424
хо0ть,h o0 t',28424
зна0ть,z n a0 t',28323
вве0рх,v v' e0 r h,28222
вдо0ль,v d o0 l',28222
та0к,t a0 k,27819
зна0ть,z n a0 t',27416
но0чь,n o0 ch,27013
то0й,t o0 j,26912
всле0д,f s l' e0 t,26811
стра0н,s t r a0 n,26610
ве0дь,v' e0 t',26408
во0н,v o0 n,26408
жа0ль,zh a0 l',26307
гра0ф,g r a0 f,26307
ва0ш,v a0 sh,26106
пя0ть,p' a0 t',26005
до0чь,d o0 ch,25803
ка0,k a0,25299
вне0,v n' e0,25098
две0рь,d v' e0 r',24594
чё0рт,ch o0 r t,24493
вла0сть,v l a0 s' t',24392
пу0ть,p u0 t',24392
че0сть,ch e0 s' t',24291
че0м,ch e0 m,24291
мо0л,m o0 l,24291
что0,ch t o0,24191
кни0г,k n' i0 k,24191
ча0й,ch a0 j,24191
тво0й,t v o0 j,24191
пре0д,p r' e0 t,24191
бу0дь,b u0 t',23485
но0г,n o0 k,23183
во0йск,v o0 j s k,23183
го0д,g o0 t,22780
ви0д,v' i0 t,22780
сто0,s t o0,22578
ли0ц,l' i0 c,22578
ке0м,k' e0 m,22477
дво0р,d v o0 r,22376
мы0сль,m y0 s l',21772
те0м,t' e0 m,21469
ше0сть,sh e0 s' t',21368
ме0ст,m' e0 s t,21368
кро0вь,k r o0 f',21368
ро0т,r o0 t,21368
вё0рст,v' o0 r s t,21368
вла0сть,v l a0 s' t',21167
те0х,t' e0 h,21167
по0л,p o0 l,20965
до0ждь,d o0 zh t',20764
сне0г,s' n' e0 k,20663
на0ш,n a0 sh,20461
ра0з,r a0 s,20360
все0й,f s' e0 j,20058
вря0д,v r' a0 t,19856
все0й,f s' e0 j,19756
ра0д,r a0 t,19151
что0,sh t o0,19151
смы0сл,s m y0 s l,19050
ле0с,l' e0 s,19050
дву0х,d v u0 h,18849
спа0л,s p a0 l,18748
гру0дь,g r u0 t',18647
дня0х,d' n' a0 h,18647
все0м,f s' e0 m,18546
жда0ть,zh d a0 t',18445
те0м,t' e0 m,18345
ре0чь,r' e0 ch,17941
смы0сл,s m y0 s l,17941
мо0г,m o0 k,17841
ма0ть,m a0 t',17841
сне0,s' n' e0,17538
все0м,f s' e0 m,17437
ря0д,r' a0 t,17437
все0й,f s' e0 j,17437
те0х,t' e0 h,17236
вё0л,v' o0 l,17034
де0д,d' e0 t,17034
да0й,d a0 j,16833
це0ль,c e0 l',16732
э0х,e0 h,16732
дни0,d' n' i0,16530
пра0в,p r a0 f,16329
бра0ть,b r a0 t',16329
те0м,t' e0 m,16127
фа0кт,f a0 k t,16127
хле0б,h l' e0 p,16127
сро0к,s r o0 k,16127
два0,d v a0,15926
су0д,s u0 t,15926
ря0д,r' a0 t,15522
о0х,o0 h,15422
ду0х,d u0 h,15321
чре0з,ch r' e0 s,15321
сме0рть,s m' e0 r t',15220
вра0ч,v r a0 ch,15220
чу0вств,ch u0 s t f,15220
се0мь,s' e0 m',15119
вслу0х,f s l u0 h,15119
мы0,m y0,15119
взгля0д,v z g l' a0 t,14918
пи0ть,p' i0 t',14817
де0,d' e0,14817
со0н,s o0 n,14615
ше0сть,sh e0 s' t',14514
да0ст,d a0 s t,14414
ча0с,ch a0 s,14414
свя0зь,s v' a0 s',14313
зря0,z r' a0,14313
шло0,sh l o0,14212
но0с,n o0 s,14212
мне0,m n' e0,14212
ве0щь,v' e0 sc,14010
су0д,s u0 t,13910
о0й,o0 j,13809
бы0л,b y0 l,13809
до0чь,d o0 ch,13708
пла0н,p l a0 n,13708
пра0в,p r a0 f,13708
сво0й,s v o0 j,13506
сня0л,s' n' a0 l,13406
дву0х,d v u0 h,13305
про0чь,p r o0 ch,13305
то0й,t o0 j,13305
го0р,g o0 r,13305
вы0,v y0,13305
фо0рм,f o0 r m,13204
всё0м,f s' o0 m,13103
шу0м,sh u0 m,13002
смо0г,s m o0 k,13002
ро0ль,r o0 l',13002
стра0х,s t r a0 h,12902
нё0м,n' o0 m,12801
са0д,s a0 t,12801
ша0г,sh a0 k,12700
се0мь,s' e0 m',12700
ле0с,l' e0 s,12599
то0й,t o0 j,12498
жи0в,zh y0 f,12398
хо0д,h o0 t,12196
свя0зь,s v' a0 s',12095
зла0,z l a0,12095
бли0з,b l' i0 s,11995
ты0,t y0,11894
кро0вь,k r o0 f',11793
е0сть,j e0 s' t',11692
сто0,s t o0,11692
ло0б,l o0 p,11390
се0й,s' e0 j,11289
гру0пп,g r u0 p,11188
се0й,s' e0 j,11188
сле0з,s l' e0 s,11087
ду0х,d u0 h,11087
на0с,n a0 s,10886
зву0к,z v u0 k,10886
жде0т,zh d' e0 t,10785
тру0д,t r u0 t,10785
сту0л,s t u0 l,10785
спи0т,s p' i0 t,10684
кра0й,k r a0 j,10583
чле0н,ch l' e0 n,10583
ле0в,l' e0 f,10583
сня0ть,s' n' a0 t',10382
сто0л,s t o0 l,10382
ро0ст,r o0 s t,10382
све0рх,s v' e0 r h,10382
кру0г,k r u0 k,10281
пи0ть,p' i0 t',10281
трё0х,t r' o0 h,10281
впло0ть,f p l o0 t',10281
де0,d' e0,10281
у0м,u0 m,10180
вста0ть,f s t a0 t',10079
за0л,z a0 l,10079
го0сть,g o0 s' t',10079
э0й,e0 j,10079
лё0г,l' o0 k,10079
два0,d v a0,9979
не0,n' e0,9979
со0н,s o0 n,9979
су0ть,s u0 t',9979
гла0з,g l a0 s,9878
пла0н,p l a0 n,9878
что0,sh t o0,9878
жда0л,zh d a0 l,9777
сте0н,s' t' e0 n,9777
гре0х,g r' e0 h,9676
пу0сть,p u0 s' t',9575
а0,a0,9475
бра0л,b r a0 l,9374
ро0ст,r o0 s t,9374
са0д,s a0 t,9374
по0лк,p o0 l k,9374
ку0рс,k u0 r s,9273
чу0ть,ch u0 t',9273
взя0в,v z' a0 f,9273
це0нтр,c e0 n t r,9172
фи0льм,f' i0 l' m,9172
но0с,n o0 s,9071
сна0,s n a0,9071
те0нь,t' e0 n',8971
кри0к,k r' i0 k,8971
бо0ль,b o0 l',8870
ве0к,v' e0 k,8870
ста0,s t a0,8870
дне0,d' n' e0,8870
ми0г,m' i0 k,8870
хле0б,h l' e0 p,8870
фро0нт,f r o0 n t,8870
би0ть,b' i0 t',8769
бо0й,b o0 j,8769
ва0с,v a0 s,8769
се0сть,s' e0 s' t',8769
тру0д,t r u0 t,8769
вра0г,v r a0 k,8668
ме0ж,m' e0 sh,8668
сро0к,s r o0 k,8568
все0м,f s' e0 m,8467
все0м,f s' e0 m,8467
что0,sh t o0,8467
сме0х,s m' e0 h,8366
та0к,t a0 k,8366
хра0м,h r a0 m,8366
те0кст,t' e0 k s t,8366
пле0н,p l' e0 n,8366
гла0з,g l a0 s,8265
рта0,r t a0,8164
кла0сс,k l a0 s,8164
то0,t o0,8164
зна0к,z n a0 k,8064
не0й,n' e0 j,8064
за0л,z a0 l,7963
зна0к,z n a0 k,7963
слу0х,s l u0 h,7963
сно0м,s n o0 m,7963
стра0х,s t r a0 h,7963
ме0р,m' e0 r,7862
ду0ш,d u0 sh,7862
че0сть,ch e0 s' t',7862
дна0,d n a0,7862
зве0рь,z v' e0 r',7862
то0нн,t o0 n,7862
у0м,u0 m,7761
це0ль,c e0 l',7761
ко0нь,k o0 n',7761
су0ть,s u0 t',7660
та0к,t a0 k,7660
ю0г,j u0 k,7660
фи0льм,f' i0 l' m,7660
ма0сс,m a0 s,7660
до0лг,d o0 l k,7560
цве0т,c v' e0 t,7560
бо0ль,b o0 l',7560
пти0ц,p t' i0 c,7560
це0нтр,c e0 n t r,7560
шко0л,sh k o0 l,7560
фо0н,f o0 n,7560
бо0к,b o0 k,7459
ва0ш,v a0 sh,7459
сво0йств,s v o0 j s t f,7459
то0н,t o0 n,7459
