Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s a1 l' u0 t + n + y4,38,"cta1021,cta1107,ctb0972,ctb1080,kta1107,ktb0972,ktb1129,ktb1771,ktb0214,otb0214,otd0257,atd0274,ata1107,atb0972,atb1080,mtb0214"
абхазец,*абхаз+ец,* a1 p h a0 z' + i4 c,* a1 p h a0 z' + i4 c,6,"cta0927,cta0927,kta0927,kta0927,ata0927,ata0927"
август,*август,* a0 v g u4 s t,* a0 v g u4 s t,3,"cta0918,kta0918"
августе,*август/е,* a0 v g u4 s' t' / i4,* a0 v g u4 s' t' / i4,11,"cta0167,gta0167,kta0909,ota0167,sta0167,uta0167,ata0167,mta0167"
автобиографии,*авто*био*графи/и,* a1 f t a2 * b' i1 a1 * g r a0 f' i4 / i4,* a1 f t y1 * b' e1 a1 * g r a0 f' i4 / i4,3,"kta1089,ata1089"
автобусе,*автобус/е,* a1 f t o0 b u4 s' / i4,* a1 f t o0 b u4 s' / i4,6,"cta0737,kta0737,ata0736"
автобусной,*автобус+н/ой,* a1 f t o0 b u4 s + n / a4 j,* a1 f t o0 b u4 s + n / y4,3,"cta0739,kta0739"
автобусом,*автобус/ом,* a1 f t o0 b u4 s / a4 m,* a1 f t o0 b u4 s / a4 m,6,"kta0696,kta0730,ata0696,ata0730"
автомат,*автомат,* a1 f t a1 m a0 t,* a1 f t a1 m a0 t,6,"ctb1900,ctb1901,ktb1900,ktb1901,atb1900,atb1901"
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* a1 f t a1 m a0 t / a4,14,"cta0270,ctb1449,ctb1905,ktb1449,ota0270,uta0270,atb1449,atb1905"
автоматически,*автомат+ич+еск+и,* a1 f t a2 m a1 t' + i0 ch + i4 s k' + i4,* a1 f t o1 m a1 t' + i0 ch + s k' + i4,3,ata0881
автоматная,*автомат+н/ая,* a1 f t a1 m a0 t + n / a4 j a4,* a1 f t a1 m a0 t + n / e4 e4,3,"ctb1917,ktb1917,atb1917"
автоматов,*автомат/ов,* a1 f t a1 m a0 t / a4 f,* a1 f t a1 m a0 t / a4 f,3,"cta0503,kta0503,ata0503"
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t y1 m a1 b' i0 l' / i4,11,"ktb1441,ota0332,ata0332"
автомобили,*автомобил/и,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t y1 m a1 b' i0 l' / i4,8,"ota0273,uta0273,ata0273"
автомобильной,*автомобиль+н/ой,* a1 f t a2 m a1 b' i0 l' + n / a4 j,* a1 f t y1 m a1 b' i0 l' + n / y4,3,"cta0766,kta0766"
агаты,*агат/ы,* a1 g a0 t / y4,* a1 g a0 t / y4,3,"cta0944,kta0944,ata0944"
адама,*адам/а,* a1 d a0 m / a4,* a1 d a0 m / a4,3,"kta0546,ata0546"
адвокаты,*адвокат/ы,* a1 d v a1 k a0 t / y4,* a1 d v a1 k a0 t / y4,3,"cta1079,ata1079"
административной,*администр+ат+ивн/ой,* a1 d m' i1 n' i1 s t r + a1 t' + i0 v n / a4 j,* a1 d m' i1 n' i1 s t r + e1 t' + i0 v n / e4 j,3,ata0875
адреса,*адрес/а,* a0 d r' i4 s / a4,* a0 d r' i4 s / y4,10,"cta0034,kta0034,ota0034,sta0034,uta0034,ata0034"
адресованном,*адрес+ова+нн/ом,* a2 d r' i1 s + o0 v a4 + n / a4 m,* a2 d r' i1 s + o0 v y4 + n / a4 m,3,ctb1762
адресу,*адрес/у,* a0 d r' i4 s / u4,* a0 d r' i4 s / u4,5,"ctb1753,gte0273,ktb1753,ste0273,atb1753"
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* a1 k y1 d' i1 m' + i0 ch + i4 + s k / y4,8,"cta0018,kta0018,ata0018"
аккуратная,*аккурат+н/ая,* a2 k u1 r a0 t + n / a4 j a4,* k u1 r a0 t + n / a4 e4,8,mtb0699
аккуратно,*аккурат+н+о,* a1 k u1 r a0 t + n + a4,* a1 k u1 r a0 t + n + a4,14,"ctb0644,ctb1943,kta1070,ktb0644,ata1070,atb1943"
аккуратный,*аккурат+н/ый,* a1 k u1 r a0 t + n / y4 j,* a1 k u1 r a0 t + n / y4,3,ktb1563
аксиому,*аксиом/у,* a1 k s' i1 o0 m / u4,* a1 k s' i1 o0 m / u4,3,"kta0897,ata0897"
алебастром,*алебастр/ом,* a1 l' i1 b a0 s t r / a4 m,* a1 l' i1 b a0 s t r / y4 m,8,"sta0271,uta0271,ata0271"
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* a1 l' i1 k s' + e0 + i4 v' + i4 ch,26,"cta0734,cta0743,cta0743,cta0744,cta0752,cta0756,cta0763,cta0768,ata0743,ata0744,ata0752,ata0756,ata0763"
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* a1 l' i1 k s' + e0 + i4 v' + i4 ch / a4,15,"cta0746,cta0747,cta0776,cta0810,ata0746,ata0747"
алексеевичем,*алекс+е+ев+ич/ем,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / i4 m,* a1 l' i1 k s' + e0 + e4 v' + i4 ch / e4 m,3,ata0910
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 +  j i4 v + n / a4,* a1 l' i1 k s' + e0 + v + n / a4,8,cta0484
алексеевной,*алекс+е+ев+н/ой,* a1 l' i1 k s' + e0 + j i4 v + n / a4 j,* a1 l' i1 k' s' + e0 + v + n / y4 j,2,kta0631
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + - i4 v + n / y4,* a1 l' e1 k s' + e0 + e4 v + n / y4,16,gta0483
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' i1 k s' + e0 j,13,"cta0446,ste0087,ste0097,uta0446"
алексея,*алекс+е/я,* a1 l' i1 k s' + e0 / j a4,* a1 l' i1 k s' + e0 / i4,8,"cta0442,kta0442,ota0442,sta0442,uta0442,ata0442"
алексин,*алекс+ин,* a1 l' e0 k s' + i4 n,* a1 l' e0 k s' + i4 n,8,"ctb0001,gtb0001,otb0001,stb0001,utb0001,mtb0001"
алик,*алик,* a0 l' i4 k,* a0 l' i4 k,65,"cta0393,cta0654,cta0661,ctc0311,ctc0598,ctc0628,ctc0648,ctc0648,ctc0666,ctc0806,ctc0813,ctc1297,ctc1482,ctc1563,ctc1591,gta0393,kta0654,kta0393,ktc0311,ktc0598,ktc0628,ktc0636,ktc0648,ktc0648,ktc0813,ktc1297,ktc1346,ktc1482,ktc1497,ktc1563,ktc1591,ota0393,sta0393,utc0311,utc0598,utc0628,utc0636,utc0648,utc0648,utc0666,utc0806,utc1297,utc1346,utc1482,utc1497,utc1591,ata0393,ata0654,ata0661,mta0393"
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m b' i0 c y4 / e4,8,"kta0235,sta0235"
ан,*ан,* a1 n,* a0 n,1,cta1151
аналогичного,*аналог+ич+н/ого,* a1 n a2 l a1 g' + i0 ch + n / a4 v a4,* a1 n a2 l a1 g' + i0 ch + n / a4 v a4,3,"cta0898,kta0898"
анатолий,*анатол+ий,* a1 n a1 t o0 l' + i4 j,* a1 n a1 t o0 l' + i4 j,8,"ctb0001,otb0001,atb0001"
английский,*англий+ск/ий,* a1 n g l' i0 j + s k' / i4 j,* a1 n g l' i0 + s k' / i4,8,"cta0154,kta0154,ota0154,sta0154,uta0154,ata0154,mta0154"
английским,*англий+ск/им,* a1 n g l' i0 j + s k' / i4 m,* a1 n g l' i0 + s k' / i4 m,8,"cta0158,ota0158,sta0158,uta0158,ata0158"
английских,*англий+ск/их,* a1 n g l' i0 j + s k' / i4 h,* a1 n g l' i0 + s k' / i4 h,8,"gta0018,ota0018,sta0018,ata0018"
английского,*англий+ск/ого,* a1 n g l' i0 j + s k / a4 v a4,* a1 n g l' i0 + s k / o4 v a4,3,kta0944
андреевна,*андре+ев+н/а,* a1 n d r' e0 - + i4 v + n / a4,* a1 n d r' e0 + v + n / a4,3,ktb1810
андрюше,*андр+юш/е,* a1 n d r' + u0 sh / y4,* a1 n d r' + u0 sh / e4,3,"cta0657,kta0657,ata0657"
антонины,*антон+ин/ы,* a1 n t a1 n' + i0 n / y4,* a1 n t a1 n' + i0 n / y4,8,"ota0107,sta0107,mta0107"
апоплексическим,*апоплекс+ич+е+ск/им,* a1 p a2 p l' i1 k s' + i0 ch + i4 + s k' / i4 m,* a1 p a2 p l' i1 k' s' + i0 ch + i4 + s k' / i4 m,3,kta0753
аппарат,*аппарат,* a1 p a1 r a0 t,* a1 p a1 r a0 t,6,"ctb0820,atb0820"
арбитра,*арбитр/а,* a1 r b' i0 t r / a4,* a1 r b' i0 t r / a4,3,"cta1019,kta1019,ata1019"
аргентинской,*аргентин+ск/ой,* a1 r g' i1 n' t' i0 n + s k / a4 j,* a1 r g' i1 n t' i0 n + s k / y4,3,"kta0741,ata0741"
арии,*ари/и,* a0 r' i4 / i4,* a0 r' i4 / i4,25,"ctb0075,ctb1238,ctb1351,ctb1512,gtb0075,gtb0651,ktb1238,ktb1352,ktb1512,ktb0075,ktb0651,otb0075,otb0651,stb0075,stb0651,utb0075,utb0651,atb0075,atb0651,atb1238,atb1351,atb1512"
арий,*арий,* a0 r' i4 j,* a0 r' i4 j,8,"ktb0051,otb0051,stb0051,atb0051"
арию,*ари/ю,* a0 r' i4 j / u4,* a0 r' i4 / u4,17,"ctb1602,ktb1466,ktb1602,ktb0650,otb0650,utb0650,atb0650,atb1466,atb1602,atb1979"
арки,*арк/и,* a0 r k' / i4,* a0 r k' / i4,7,"gta0270,kta0270,sta0270,uta0270,ata0270,mta0270"
артистов,*артист+ов,* a1 r t' i0 s t + a4 f,* a1 r t' i0 s t + a4 f,8,"gtb0639,ktb0639,otb0639,stb0639"
артисты,*артист/ы,* a1 r t' i0 s t / y4,* a1 r t' i0 s t / y4,3,"cta1079,kta1079,ata1079"
архитектор,*архитект+ор,* a1 r h' i1 t' e0 k t + a4 r,* a1 r h' i1 t' e0 k t + y4 r,11,"ctb1382,ktb1382,mtb0073"
архитекторы,*архитект+ор/ы,* a1 r h' i1 t' e0 k t + a4 r / y4,* a1 r h' i1 t' e0 k t + y4 r / y4,6,"ctb0894,ktb0884,ktb0894,atb0884,atb0894"
архитектура,*архитект+ур/а,* a2 r h' i1 t' i1 k t + u0 r / a4,* a2 r h' i1 t' i1 k t + u0 r / y4,16,utb0334
архитектурная,*архитект+ур+н/ая,* a1 r h' i1 t' i1 k t + u0 r + n / a4 j a4,* a1 r h' i1 t' i1 k t + u0 r + n / e4 e4,3,atb0881
архитектурной,*архитект+ур+н/ой,* a2 r h' i1 t' i1 k t + u0 r + n / a4 j,* a2 r h' i1 t' i1 k t + u0 r + n / y4 j,11,atb0448
аспирантуре,*аспирант+ур/е,* a1 s p' i1 r a1 n t + u0 r' / i4,* a1 s p' i1 r a1 n t + u0 r' / i4,3,atb0910
аспирантуру,*аспирант+ур/у,* a1 s p' i1 r a1 n t + u0 r / u4,* a1 s p' e1 r a1 n t + u0 r / u4,8,gta0154
ассенизаторами,*ассениз+а+тор/ами,* a1 s' i1 n' i1 z + a0 + t a4 r / a4 m' i4,* e1 s' i1 n' i1 z + a0 + t e4 r / y4 m' i4,3,ata0854
аудиенции,*аудиенци/и,* a1 u1 d' i1 j e0 n c y4 / i4,* a1 u1 d' i1 e0 n c y4 /,8,"uta0497,mta0497"
ах,*ах,* a0 h,* a0 h,26,"cta0503,cta0580,cta0804,cta1012,ctb0618,ctb1901,gtb0618,kta0503,kta0580,kta0804,kta1047,ktb0618,otb0618,stb0618,utb0618,atb0618,ata0503,ata0580,ata0804,ata1012,ata1047,atb1901,mtb0618"
ахнула,*ах+ну+л/а,* a0 h + n u4 + l / a4,* a0 h + n u4 + l / a4,3,"cta1031,kta1031,ata1031"
баба,*баб/а,* b a0 b / a4,* b a0 b / a4,6,"cta0580,cta1022,kta0580,kta1022,ata0580,ata1022"
бабушка,*баб+ушк/а,* b a0 b + u4 sh k / a4,* b a0 b + u1 sh k / a4,11,kta0290
бабушки,*баб+ушк/и,* b a0 b + u4 sh k' / i4,* b a0 b + u4 sh k' /,8,sta0096
базаром,*базар/ом,* b a1 z a0 r / a4 m,* b a1 z a0 r / a4 m,3,cta0927
базе,*баз/е,* b a0 z' / i4,* b a0 s' / e4,3,ata0850
балаганами,*балаган/ами,* b a2 l a1 g a0 n / a4 m' i4,* b a2 l a1 g a0 n / y4 m' i4,3,cta0833
балбеса,*балбес/а,* b a1 l b' e0 s / a4,* b a1 l b' e0 s / a4,8,"cta0310,gta0310,kta0310,ota0310,sta0310,uta0310,ata0310,mta0310"
балкон,*балкон,* b a1 l k o0 n,* b a1 l k o0 n,9,"ctb1470,ctb2047,ctc1130,ktb1470,ktb2047,ktc1130,utc1130,atb1470,atb2047"
балкона,*балкон/а,* b a1 l k o0 n / a4,* b a1 l k o0 n / a4,8,"cta0456,gta0456,kta0456,ota0456,sta0456,uta0456,ata0456,mta0456"
балконе,*балкон/е,* b a1 l k o0 n' / i4,* b a1 l k o0 n' / e4,29,"cta0181,cta0182,cta0457,ctb1445,gta0182,ota0457,ata0457,mta0182"
балконной,*балкон+н/ой,* b a1 l k o0 n + n / a4 j,* b a1 l k o0 n + / y4,3,"cta0694,ata0694"
балконную,*балкон+н/ую,* b a1 l k o0 n + n / u4 j u4,* b a1 l k o0 + n / u4 j u4,3,ctb2090
бамбук,*бамбук,* b a1 m b u0 k,* b a1 m b u0 k,3,"cta0745,kta0745,ata0745"
банок,*бан+ок,* b a0 n + a4 k,* b a0 n + a4 k,1,cta1137
баснословные,*ба+сн=о*слов+н/ые,* b a2 + s n = a1 * s l o0 v + n / y4 j i4,* b e1 + s n = a1 * s l o0 v + n / y4 i4,3,ata0848
батум,*батум,* b a1 t u0 m,* b a1 t u0 m,3,"cta0927,kta0927,ata0927"
башни,*башн/и,* b a0 sh n' / i4,* b a0 sh n' / i4,3,"cta0836,kta0836,ata0836"
бдению,*бд+ени/ю,* b d' + e0 n' i4 j / u4,* b d' + e0 n' e4 j / u4,3,ata0877
бегал,*бег+а+л,* b' e0 g + a4 + l,* b' e0 g + a4 + l,11,kta0486
бегите,*бег+и+те,* b' i1 g' + i0 + t' i4,* b i1 g' + i0 + d' i4,8,gta0191
бегло,*бег+л+о,* b' e0 g + l + a4,* b' e0 g + l + a4,1,cta1158
бедность,*бедн+ость,* b' e0 d n + a4 s' t',* b' e0 d n + e4 s' t',3,ata0911
бедняга,*бедн+яг/а,* b' i1 d' n' + a0 g / a4,* b i1 d' n' + a0 g / a4,14,mta0453
беднягам,*бедн+яг/ам,* b' i1 d' n' + a0 g / a4 m,* b' i1 d n' + a0 g / a4 m,3,"kta0770,ata0770"
бежал,*беж+а+л,* b' i1 zh + a0 + l,* b' e1 zh + a0 + l,12,"cta1062,kta1062"
бежали,*беж+а+л/и,* b' i1 zh + a0 + l' / i4,* b' i1 zh + a0 + l' / i4,3,"ctb1690,ktb1690,atb1690"
бежит,*беж/ит,* b' i1 zh / y0 t,* b' e1 zh / y0 t,8,gta0103
без,*без,* b' i1 s,* b' e0 s,5,"gte0154,ste0154"
безвыходное,~без*выход+н/ое,~ b' i1 z * v y0 h a4 d + n / a4 j i4,~ b' i1 z * v y0 h a4 d + n / a4 e4,6,atb2113
безвыходном,~без~вы*ход+н/ом,~ b' i1 z ~ v y0 * h a4 d + n / a4 m,~ b e1 z ~ v y0 * h a4 d + n / a4 m,8,gta0437
