,word,transcript,neighbours
0,['и'],['i'],"[['j', 'e'], ['a'], ['e'], [""l'"", 'i'], ['o'], ['u'], ['i', 's'], ['j', 'a'], ['i', 'h'], [""n'"", 'i'], ['i', 'm']]"
1,"['н', 'е']","[""n'"", 'e']","[['zh', 'e'], ['v', ""n'"", 'e'], [""n'"", 'e', 't'], [""t'"", 'e'], ['j', 'e'], ['n', 'a'], [""s'"", ""n'"", 'e'], ['n', 'o'], [""n'"", 'e', 'j'], ['n', 'u'], [""d'"", 'e'], [""s'"", 'e'], [""n'"", 'i'], ['m', ""n'"", 'e'], [""d'"", ""n'"", 'e']]"
2,"['н', 'а']","['n', 'a']","[['d', 'n', 'a'], ['n', 'a', 't'], ['k', 'a'], [""n'"", 'e'], ['a'], ['n', 'a', 'sh'], ['t', 'a'], ['n', 'o'], ['n', 'u'], ['s', 'n', 'a'], ['h', 'a'], ['d', 'a'], ['l', 'a'], ['b', 'a'], [""n'"", 'i'], ['z', 'a'], ['n', 'a', 's'], ['n', 'a', 'm']]"
3,"['ч', 'т', 'о']","['sh', 't', 'o']","[['k', 't', 'o'], ['sh', 't', 'o'], ['s', 't', 'o'], ['t', 'o'], ['sh', 't', 'o', 'p']]"
4,['я'],"['j', 'a']","[['j', 'e'], [""m'"", 'a'], ['a'], ['e'], ['o'], ['u'], ['i'], ['j', 'a', 'n']]"
5,['а'],['a'],"[['a', 'sh'], ['a', 'n'], ['e'], ['n', 'a'], ['u'], ['b', 'a'], ['a', 'j'], ['k', 'a'], ['t', 'a'], ['h', 'a'], ['a', 't'], ['l', 'a'], ['o'], ['i'], ['j', 'a'], ['z', 'a'], ['a', 'h'], ['j', 'e'], ['d', 'a']]"
6,"['о', 'н']","['o', 'n']","[['o', 'h'], ['a', 'n'], ['o', 't'], ['o'], ['t', 'o', 'n'], ['o', 'j'], ['o', 'p'], ['z', 'o', 'n'], ['d', 'o', 'n'], ['j', 'a', 'n'], ['f', 'o', 'n'], ['s', 'o', 'n'], ['v', 'o', 'n']]"
7,"['н', 'о']","['n', 'o']","[[""n'"", 'e'], ['k', 'o'], ['n', 'o', 's'], ['n', 'a'], ['o'], ['t', 'o'], ['n', 'o', 'k'], ['n', 'u'], ['b', 'o'], ['v', 'o'], ['d', 'o'], [""n'"", 'i'], ['p', 'o'], ['s', 'o'], ['d', 'n', 'o'], ['n', 'o', 'sh']]"
8,"['п', 'о']","['p', 'o']","[['p', 'r', 'o'], ['p', 'o', 't'], ['k', 'o'], ['t', 'o'], ['o'], ['n', 'o'], ['p', 'o', 'p'], ['b', 'o'], ['v', 'o'], ['d', 'o'], ['s', 'o'], ['p', 'o', 'r'], ['p', 'o', 'l'], ['p', 'o', 't']]"
9,['и'],['i'],"[['j', 'e'], ['a'], ['e'], [""l'"", 'i'], ['o'], ['u'], ['i', 's'], ['j', 'a'], ['i', 'h'], [""n'"", 'i'], ['i', 'm']]"
10,"['к', 'а', 'к']","['k', 'a', 'k']","[['t', 'a', 'k'], ['k', 'a'], ['d', 'a', 'k'], ['r', 'a', 'k']]"
11,"['и', 'з']","['i', 's']","[['i', 's', 'p'], ['i'], ['i', 'm'], ['i', 'h']]"
12,['у'],['u'],"[['u', 'sh'], ['j', 'e'], ['a'], ['e'], ['u', 's'], ['o'], ['t', 'u'], ['n', 'u'], ['u', 'm'], ['u', 'h'], ['i'], ['j', 'a'], ['f', 'u']]"
13,"['з', 'а']","['z', 'a']","[['k', 'a'], ['a'], ['n', 'a'], ['t', 'a'], ['h', 'a'], ['z', 'l', 'a'], ['d', 'a'], ['b', 'a'], ['z', 'a', 'l'], ['l', 'a']]"
14,"['о', 'т']","['o', 't']","[['p', 'o', 't'], ['o', 'h'], ['o'], ['s', 'o', 't'], ['o', 'j'], ['o', 'p'], ['v', 'o', 't'], ['r', 'o', 't'], ['o', 'n'], ['t', 'o', 't'], ['k', 'o', 't']]"
15,"['ж', 'е']","['zh', 'e']","[['j', 'e'], [""t'"", 'e'], [""n'"", 'e'], [""d'"", 'e'], [""s'"", 'e']]"
16,['о'],['o'],"[['e'], ['u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['o', 'h'], ['a'], ['n', 'o'], ['o', 'p'], ['b', 'o'], ['k', 'o'], ['t', 'o'], ['i'], ['j', 'a'], ['o', 'n'], ['s', 'o'], ['j', 'e'], ['o', 't'], ['o', 'j']]"
