,grapheme,entropy_H,total_freq_sum,n_pronunciations,top_phoneme,top_phoneme_freq,top_phoneme_pct,variants,weight
5,е,1.9242,50955,6,i,23186,45.5,"i (45.5%), e (33.5%), y (7.5%), o (5.2%), ji (5.0%), je (3.2%)",0.07770302211459576
31,я,1.6018,12860,4,a,7257,56.43,"a (56.4%), i (21.0%), ja (17.2%), ji (5.4%)",0.019610653800288518
3,г,1.4959,8957,6,g,5888,65.74,"g (65.7%), v (17.0%), g' (8.5%), k (7.6%), h (1.2%), - (0.0%)",0.013658835621242944
4,д,1.4643,22968,7,d,13357,58.15,"d (58.2%), d' (32.5%), t (4.4%), - (2.7%), t' (1.9%), c (0.2%), ch (0.1%)",0.03502468868468325
17,с,1.4613,33369,9,s,19274,57.76,"s (57.8%), s' (32.4%), c (6.3%), - (2.1%), z' (0.8%), z (0.6%), sh (0.1%), zh (0.0%), sc (0.0%)",0.05088552928941116
2,в,1.4292,25886,5,v,15361,59.34,"v (59.3%), v' (25.0%), f (14.6%), - (0.7%), f' (0.3%)",0.03947444667762586
18,т,1.2046,46210,7,t,30239,65.44,"t (65.4%), t' (28.8%), - (4.8%), c (0.5%), d (0.2%), d' (0.2%), ch (0.0%)",0.07046720933991699
13,н,1.0901,38627,3,n,24417,63.21,"n (63.2%), n' (34.0%), - (2.7%)",0.05890363330822275
11,л,0.9993,36216,3,l,21518,59.42,"l (59.4%), l' (40.3%), - (0.3%)",0.05522701695421842
32,ё,0.9992,706,2,jo,365,51.7,"jo (51.7%), o (48.3%)",0.0010766035445570524
20,ф,0.9899,1043,2,f,583,55.9,"f (55.9%), f' (44.1%)",0.0015905063696501497
30,ю,0.9821,4875,2,ju,2821,57.87,"ju (57.9%), u (42.1%)",0.007434054220560383
1,б,0.98,10458,3,b,7955,76.07,"b (76.1%), b' (18.4%), p (5.5%)",0.015947761854075995
7,з,0.9407,11038,7,z,9042,81.92,"z (81.9%), z' (10.5%), s (6.0%), s' (0.8%), zh (0.7%), - (0.1%), sh (0.0%)",0.016832223689547798
14,о,0.9229,72125,2,a,47748,66.2,"a (66.2%), o (33.8%)",0.10998587910931644
16,р,0.917,29537,3,r,19963,67.59,"r (67.6%), r' (32.3%), - (0.1%)",0.04504198143850093
12,м,0.8611,25602,3,m,18514,72.31,"m (72.3%), m' (27.6%), - (0.1%)",0.0390413653650845
23,ч,0.7934,10168,3,ch,8489,83.49,"ch (83.5%), sh (11.4%), sc (5.1%)",0.015505530936340097
15,п,0.6176,17229,3,p,14680,85.21,"p (85.2%), p' (14.6%), - (0.2%)",0.02627309131610971
10,к,0.5238,22655,4,k,20106,88.75,"k (88.7%), k' (11.1%), - (0.1%), g (0.1%)",0.034547384280368305
29,э,0.443,2802,3,e,2591,92.47,"e (92.5%), i (5.9%), y (1.7%)",0.004272865625848245
6,ж,0.3845,7086,3,zh,6651,93.86,"zh (93.9%), sh (4.5%), - (1.7%)",0.010805683734746845
8,и,0.3538,40456,3,i,37823,93.49,"i (93.5%), y (6.4%), ji (0.1%)",0.0616927379583571
21,х,0.2059,5538,2,h,5359,96.77,"h (96.8%), h' (3.2%)",0.008445085594556595
0,а,0.0713,56149,3,a,55690,99.18,"a (99.2%), i (0.8%), y (0.1%)",0.08562353034466563
9,й,0.055,7800,2,j,7751,99.37,"j (99.4%), - (0.6%)",0.011894486752896612
24,ш,0.0203,6203,3,sh,6192,99.82,"sh (99.8%), zh (0.1%), - (0.0%)",0.009459166836950986
22,ц,-0.0,2429,1,c,2429,100.0,c (100.0%),0.003704065169587932
19,у,-0.0,17660,1,u,17660,100.0,u (100.0%),0.0269303379559172
28,ь,-0.0,15372,1,-,15372,100.0,- (100.0%),0.023441288508400864
27,ы,-0.0,11095,1,y,11095,100.0,y (100.0%),0.016919144938895885
26,ъ,-0.0,328,1,-,328,100.0,- (100.0%),0.0005001784173012934
25,щ,-0.0,1364,1,sc,1364,100.0,sc (100.0%),0.0020800102475578178
