,phoneme_real,entropy_H,total_freq_sum,n_realizations,top_grapheme,top_grapheme_freq,top_grapheme_pct,variants,weight
16,j,1.9857,18077,6,й,7751,42.88,"й (42.9%), е (23.3%), я (16.0%), ю (15.6%), ё (2.0%), и (0.2%)",0.02801710442908001
39,y,1.3456,17617,5,ы,11095,62.98,"ы (63.0%), е (21.8%), и (14.8%), э (0.3%), а (0.2%)",0.027304161571450047
1,a,1.3278,112904,3,а,55690,49.33,"а (49.3%), о (42.3%), я (8.4%)",0.17498717477794154
4,c,1.3138,4824,4,ц,2429,50.35,"ц (50.4%), с (43.4%), т (5.0%), д (1.2%)",0.0074766007504498515
15,i,1.2828,67592,5,и,37857,56.01,"и (56.0%), е (38.1%), я (5.0%), а (0.6%), э (0.2%)",0.10475920354983548
33,sh,0.8846,7700,5,ш,6192,80.42,"ш (80.4%), ч (15.1%), ж (4.1%), с (0.3%), з (0.0%)",0.011934043486414563
32,sc,0.8539,1881,3,щ,1364,72.51,"щ (72.5%), ч (27.4%), с (0.1%)",0.002915316337395558
36,u,0.7534,22535,2,у,17660,78.37,"у (78.4%), ю (21.6%)",0.0349264506449808
41,z',0.697,1421,2,з,1154,81.21,"з (81.2%), с (18.8%)",0.0022023734797655967
10,f',0.632,547,2,ф,460,84.1,"ф (84.1%), в (15.9%)",0.000847782050268671
25,o,0.6199,27711,3,о,24377,87.97,"о (88.0%), е (9.5%), ё (2.5%)",0.04294860766909532
9,f,0.5675,4360,2,в,3777,86.63,"в (86.6%), ф (13.4%)",0.006757458389710065
8,e,0.5337,21324,2,е,18733,87.85,"е (87.8%), э (12.2%)",0.03304955107848106
37,v,0.4364,16880,2,в,15361,91.0,"в (91.0%), г (9.0%)",0.026161903123464655
26,p,0.2316,15255,2,п,14680,96.23,"п (96.2%), б (3.8%)",0.023643354985097946
30,s,0.209,19931,2,с,19274,96.7,"с (96.7%), з (3.3%)",0.030890574120484245
17,k,0.2078,20786,2,к,20106,96.73,"к (96.7%), г (3.3%)",0.032215717910209496
35,t',0.2055,13773,2,т,13329,96.78,"т (96.8%), д (3.2%)",0.021346439082907506
34,t,0.2054,31246,2,т,30239,96.78,"т (96.8%), д (3.2%)",0.04842741854240382
40,z,0.1411,9226,2,з,9042,98.01,"з (98.0%), с (2.0%)",0.014299153922813087
13,h,0.137,5464,2,х,5359,98.08,"х (98.1%), г (1.9%)",0.00846852124802197
42,zh,0.1182,6747,4,ж,6651,98.58,"ж (98.6%), з (1.2%), ш (0.1%), с (0.1%)",0.01045701187049858
7,d',0.09,7541,2,д,7455,98.86,"д (98.9%), т (1.1%)",0.01168761323779899
31,s',0.0672,10888,2,с,10801,99.2,"с (99.2%), з (0.8%)",0.016875047464945683
6,d,0.0601,13451,2,д,13357,99.3,"д (99.3%), т (0.7%)",0.020847379082566533
5,ch,0.0464,8529,3,ч,8489,99.53,"ч (99.5%), д (0.4%), т (0.1%)",0.01321889050592595
11,g,0.0327,5908,2,г,5888,99.66,"г (99.7%), к (0.3%)",0.00915666609321263
2,b,-0.0,7955,1,б,7955,100.0,б (100.0%),0.012329261809665955
3,b',-0.0,1928,1,б,1928,100.0,б (100.0%),0.0029881604989360103
23,n,-0.0,24417,1,н,24417,100.0,н (100.0%),0.03784331685815382
20,l',-0.0,14592,1,л,14592,100.0,л (100.0%),0.022615787344644325
19,l,-0.0,21518,1,л,21518,100.0,л (100.0%),0.03335022697930761
14,h',-0.0,179,1,х,179,100.0,х (100.0%),0.0002774277641647022
18,k',-0.0,2504,1,к,2504,100.0,к (100.0%),0.003880888946750918
12,g',-0.0,762,1,г,762,100.0,г (100.0%),0.0011810053424218048
24,n',-0.0,13148,1,н,13148,100.0,н (100.0%),0.02037776672199723
21,m,-0.0,18514,1,м,18514,100.0,м (100.0%),0.028694400143828472
22,m',-0.0,7061,1,м,7061,100.0,м (100.0%),0.010943672864619901
28,r,-0.0,19963,1,р,19963,100.0,р (100.0%),0.03094017014536285
27,p',-0.0,2521,1,п,2521,100.0,п (100.0%),0.003907236834967677
29,r',-0.0,9550,1,р,9550,100.0,р (100.0%),0.014801313674708973
38,v',-0.0,6483,1,в,6483,100.0,в (100.0%),0.010047844665250081
